date_id,weather_main,weather_description,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_sunrise,sys_sunset,id,name
110818,Clouds,broken clouds,302.63,1016,65,302.05,304.25,16093,4.1,70,75,1541696160,1541676852,1541716475,4164138,Miami
111018,Clouds,few clouds,301.27,1016,63,300.35,302.05,16093,4.1,90,20,1541886960,1541849745,1541889209,4164138,Miami
111218,Clouds,scattered clouds,300.06,1018,79,299.25,300.95,16093,3.6,60,40,1541976960,1542022589,1542061982,4164138,Miami
111318,Clouds,few clouds,300.18,1018,87,299.35,300.95,16093,4.1,120,20,1542113760,1542109055,1542148343,4164138,Miami
111418,Clouds,broken clouds,302.72,1018,69,301.45,303.75,16093,5.1,120,75,1542215100,1542195506,1542234715,4164138,Miami
111718,Clouds,overcast clouds,297.72,1018,68,297.05,298.75,16093,3.1,60,90,1542491760,1542454844,1542493852,4164138,Miami
111918,Clouds,broken clouds,293.824,1031.68,94,293.824,293.824,,1.11,18.0024,64,1542633393,1542627715,1542666626,4164138,Miami
112018,Rain,heavy intensity rain,299.01,1017,84,297.55,299.85,16093,4.1,180,75,1542755340,1542714178,1542753006,4164138,Miami
112218,Clouds,few clouds,296.24,1020,81,295.95,296.85,16093,2.6,350,20,1542851760,1542887029,1542925793,4164138,Miami
112518,Clouds,broken clouds,298,1012,84,297.55,298.75,12874,3.1,220,75,1543120380,1543146365,1543184966,4164138,Miami
112818,Clouds,scattered clouds,290.84,1019,32,289.85,291.45,16093,2.6,,40,1543441980,1543405728,1543444152,4164138,Miami
120118,Rain,light rain,296.83,1019,73,295.95,297.55,16093,3.6,110,90,1543621980,1543665019,1543703354,4164138,Miami
