date_id,weather_main,weather_description,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_sunrise,sys_sunset,id,name
111518,Clear,clear sky,273.57,1037,63,272.15,274.85,16093,2.51,37.5002,1,1542256500,1542282354,1542318253,4560349,Philadelphia
111718,Clear,clear sky,275.65,1017,86,273.75,277.15,16093,1.5,260,1,1542429300,1542455291,1542490963,4560349,Philadelphia
112518,Rain,heavy intensity rain,280.11,1004,87,278.15,282.15,4023,10.8,350,90,1543121340,1543147025,1543181883,4560349,Philadelphia
111318,Rain,moderate rain,278.49,1024,96,277.05,280.35,4828,2.1,10,90,1542084300,1542109416,1542145551,4560349,Philadelphia
112718,Clouds,overcast clouds,279.25,999,75,277.05,281.45,16093,9.8,270,90,1543294200,1543319953,1543354634,4560349,Philadelphia
111118,Clear,clear sky,272.79,1026,68,270.95,274.25,16093,3.17,277.002,1,1541910900,1541936478,1541972855,4560349,Philadelphia
113018,Clouds,broken clouds,273.23,1019,83,271.15,274.85,16093,1.15,274.504,75,1543552500,1543579340,1543613777,4560349,Philadelphia
111818,Clear,clear sky,275.86,1027,81,273.15,278.15,16093,1.17,290.502,1,1542515700,1542541759,1542577321,4560349,Philadelphia
111418,Clear,clear sky,278.69,1022,69,277.15,280.35,16093,1.5,280,1,1542170100,1542195885,1542231901,4560349,Philadelphia
112018,Haze,haze,278.69,1013,100,276.15,280.95,4023,2.56,193.006,40,1542688500,1542714695,1542750043,4560349,Philadelphia
111618,Rain,moderate rain,276.18,1004,96,273.75,279.85,4828,8.2,50,90,1542343440,1542368823,1542404607,4560349,Philadelphia
111218,Clear,clear sky,272.75,1029,100,269.85,275.95,11265,1.13,233.004,1,1541997300,1542022947,1542059202,4560349,Philadelphia
112418,Clear,clear sky,268.57,1028,85,267.35,270.15,16093,1.07,58.0046,1,1543034100,1543060560,1543095511,4560349,Philadelphia
111018,Rain,light rain,281.9,1010,92,279.15,284.15,16093,4.6,270,90,1541824860,1541850009,1541886510,4560349,Philadelphia
